peak_mem,layer
0.247,0
1.3639999999999999,1
0.6769999999999998,2
0.5490000000000004,3
0.488,4
0.496,5
0.4929999999999999,6
0.4930000000000003,7
0.49299999999999944,8
0.5150000000000006,9
0.4739999999999993,10
0.5390000000000006,11
0.5119999999999996,12
0.5070000000000006,13
0.5099999999999989,14
0.41999999999999993,15
0.4330000000000016,16
0.3149999999999995,17
0.4269999999999996,18
0.8520000000000003,20
0.42499999999999893,21
0.4270000000000014,22
0.48099999999999987,23
0.42300000000000004,24
0.4219999999999988,25
0.5750000000000011,26
0.34699999999999953,27
0.6259999999999994,28
0.7360000000000007,29
0.9910000000000014,30
0.9089999999999989,31
0.8369999999999997,32
0.9959999999999987,33
0.9140000000000015,34
0.9089999999999989,35
0.9039999999999999,36
0.9030000000000022,37
0.9149999999999991,38
